[2022-06-21T12:30:27.804] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:30:27.949] [INFO] infoFile - { route: '/api/data/product/get', method: '[POST]' }
[2022-06-21T12:30:49.836] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:30:50.160] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:30:50.278] [INFO] infoFile - { route: '/api/data/product/get', method: '[GET]' }
[2022-06-21T12:35:07.607] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:35:07.972] [INFO] infoFile - { route: '/api/data/product/get', method: '[GET]' }
[2022-06-21T12:36:33.922] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:36:33.946] [INFO] infoFile - { route: '/api/data/product/get', method: '[GET]' }
[2022-06-21T12:37:08.488] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:37:08.868] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:37:08.876] [INFO] infoFile - { route: '/api/data/product/get', method: '[GET]' }
[2022-06-21T12:37:38.407] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:37:38.736] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:37:38.745] [INFO] infoFile - { route: '/api/data/product/get', method: '[GET]' }
[2022-06-21T12:38:44.946] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:38:45.265] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:38:45.274] [INFO] infoFile - { route: '/api/data/product/get', method: '[GET]' }
[2022-06-21T12:46:01.438] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:46:02.065] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:46:02.116] [INFO] infoFile - { route: '/api/data/product/get', method: '[GET]' }
[2022-06-21T12:55:02.489] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:55:02.803] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:55:02.976] [INFO] infoFile - { route: '/api/data/product/get', method: '[GET]' }
[2022-06-21T12:55:57.904] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:55:58.211] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:55:58.222] [INFO] infoFile - { route: '/api/data/product/get', method: '[GET]' }
[2022-06-21T12:56:13.785] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
